membership_id,person_id,role_id,party_id,coalition_id,contest_id,goes_for_coalition,membership_type,goes_for_reelection,start_date,end_date,is_substitute,parent_membership_id,changed_from_substitute,date_changed_from_substitute
227,227,3,4,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
228,228,3,4,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
229,229,3,4,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
230,230,3,6,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
231,231,3,6,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
232,232,3,6,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
233,233,3,6,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
234,234,3,7,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
235,235,3,7,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
236,236,3,7,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
237,237,3,7,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
238,238,3,66,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
239,239,3,66,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
240,240,3,66,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
241,241,3,66,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
242,242,3,69,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
243,243,3,69,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
244,244,3,69,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
245,245,3,69,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
246,246,4,17,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
247,247,4,17,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
248,248,4,36,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
249,249,4,36,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
250,250,4,46,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
251,251,4,46,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
252,252,4,52,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
253,253,4,52,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
254,254,4,70,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
255,255,4,70,-1,4,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
256,256,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
257,257,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
258,258,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
259,259,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
260,260,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
261,261,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
262,262,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
263,263,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
264,264,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
265,265,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
266,266,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
267,267,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
268,268,5,2,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
269,269,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
270,270,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
271,271,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
272,272,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
273,273,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
274,274,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
275,275,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
276,276,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
277,277,5,12,-1,5,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
