area_id,ocd_id,name,country,state,city,district_type,parent_area_id
78,ocd-division/country:mx/state:df/city:7,Presidencia del municipio de IZTAPALAPA,MX,CMX,IZTAPALAPA,3,-1,
79,ocd-division/country:mx/state:df/city:8,Presidencia del municipio de LA MAGDALENA CONTRERAS,MX,CMX,LA MAGDALENA CONTRERAS,3,-1,
80,ocd-division/country:mx/state:df/fed:1,Diputación del Distrito Federal 1 de CIUDAD DE MÉXICO,MX,CMX,GUSTAVO A. MADERO,2,-1,
81,ocd-division/country:mx/state:df/fed:10,Diputación del Distrito Federal 10 de CIUDAD DE MÉXICO,MX,CMX,MIGUEL HIDALGO,2,-1,
82,ocd-division/country:mx/state:df/fed:11,Diputación del Distrito Federal 11 de CIUDAD DE MÉXICO,MX,CMX,VENUSTIANO CARRANZA,2,-1,
83,ocd-division/country:mx/state:df/fed:12,Diputación del Distrito Federal 12 de CIUDAD DE MÉXICO,MX,CMX,CUAUHTEMOC,2,-1,
84,ocd-division/country:mx/state:df/fed:13,Diputación del Distrito Federal 13 de CIUDAD DE MÉXICO,MX,CMX,IZTACALCO,2,-1,
85,ocd-division/country:mx/state:df/fed:14,Diputación del Distrito Federal 14 de CIUDAD DE MÉXICO,MX,CMX,TLALPAN,2,-1,
86,ocd-division/country:mx/state:df/fed:15,Diputación del Distrito Federal 15 de CIUDAD DE MÉXICO,MX,CMX,BENITO JUAREZ,2,-1,
87,ocd-division/country:mx/state:df/fed:16,Diputación del Distrito Federal 16 de CIUDAD DE MÉXICO,MX,CMX,ALVARO OBREGON,2,-1,
88,ocd-division/country:mx/state:df/fed:17,Diputación del Distrito Federal 17 de CIUDAD DE MÉXICO,MX,CMX,"ALVARO OBREGON, CUAJIMALPA DE MORELOS",2,-1,
89,ocd-division/country:mx/state:df/fed:18,Diputación del Distrito Federal 18 de CIUDAD DE MÉXICO,MX,CMX,IZTAPALAPA,2,-1,
90,ocd-division/country:mx/state:df/fed:19,Diputación del Distrito Federal 19 de CIUDAD DE MÉXICO,MX,CMX,IZTAPALAPA,2,-1,
91,ocd-division/country:mx/state:df/fed:2,Diputación del Distrito Federal 2 de CIUDAD DE MÉXICO,MX,CMX,GUSTAVO A. MADERO,2,-1,
92,ocd-division/country:mx/state:df/fed:20,Diputación del Distrito Federal 20 de CIUDAD DE MÉXICO,MX,CMX,IZTAPALAPA,2,-1,
