full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Maria Teresa Babun Villarreal,Maria Teresa,Babun Villarreal,0001-01-01,2,True,4,97,
Victor Manuel Sanchez Saenz,Victor Manuel,Sanchez Saenz,0001-01-01,1,True,4,97,
Jose Luis Aguirre Blancas,Jose Luis,Aguirre Blancas,0001-01-01,1,True,4,97,
Lexy Yuliana Yañez Lamas,Lexy Yuliana,Yañez Lamas,0001-01-01,2,True,4,97,
Luis Arturo Gonzalez Cruz,Luis Arturo,Gonzalez Cruz,0001-01-01,1,True,4,184,
Juan Diego Beristain Avila,Juan Diego,Beristain Avila,0001-01-01,1,True,7,212,
Hugo Leon Valle,Hugo,Leon Valle,0001-01-01,1,True,5,235,
Hortencia Meza Castro,Hortencia,Meza Castro,0001-01-01,2,True,4,97,
Tania Guadalupe Guerrero Mena,Tania Guadalupe,Guerrero Mena,0001-01-01,2,True,4,184,
Reyna Soledad Rodriguez Borquez,Reyna Soledad,Rodriguez Borquez,0001-01-01,2,True,2,212,
Jose Luis Mejia Ojeda,Jose Luis,Mejia Ojeda,0001-01-01,1,True,2,2,
Edna Paulina Gutierrez Rubalcava,Edna Paulina,Gutierrez Rubalcava,0001-01-01,2,True,4,97,
Luis Fernando Gomez Navarrete,Luis Fernando,Gomez Navarrete,0001-01-01,1,True,-1,146,
Xochilt De Labra Monreal,Xochilt,De Labra Monreal,0001-01-01,2,True,7,184,
Farah Risk Morales,Farah,Risk Morales,0001-01-01,2,True,4,212,
Jorge Francisco Guzman Mendez,Jorge Francisco,Guzman Mendez,0001-01-01,1,True,6,235,
Felipe De Jesus Mayoral Mayoral,Felipe De Jesus,Mayoral Mayoral,0001-01-01,1,True,4,255,
Martha Paulette Gallardo Galindo,Martha Paulette,Gallardo Galindo,0001-01-01,2,True,2,274,
Julieta Andrea Ramirez Padilla,Julieta Andrea,Ramirez Padilla,0001-01-01,2,True,4,97,
Socorro Irma Andazola Gomez,Socorro Irma,Andazola Gomez,1964-09-22,2,True,4,184,
