other_name_type,name,person_id
2,Paty Duran,2381,
2,Sergio Octavio,2389,
2,Pepe Ovando,2390,
2,Alfredo Corzo,2392,
2,Yess Buendia,2393,
2,Zazu Hornelas,2398,
2,Dr. Heriberto Rubio,2401,
2,Tony Rodríguez,2403,
2,Toño Díaz,2407,
2,Axel Roth,2412,
2,Enrique Escalante,2417,
2,Chira la Arrecha,2426,
2,Guero,2427,
2,Dr. Héctor Torres Soltero,2436,
2,Geraldine Ponce,2438,
2,Misael Espinoza,2440,
2,Dr. Magdaleno Pérez Hernández,2446,
2,Paco Cienfuegos,2448,
2,Pako Sánchez,2449,
2,Tere Calzada,2453,
2,Max,2455,
2,Charly Maya,2457,
2,Chucho Llamas,2459,
2,Caballero Millán,2471,
2,Pepe Celaya,2476,
